ID,Major,Minor,MinorTitle,GroupId,GroupTitle,CID
103,11,9000,Other Management Occupations,112,Medical Center Manager,11.112
104,11,9000,Other Management Occupations,113,Social Services Director (Management),11.113
105,11,9000,Other Management Occupations,114,Client Services Manager,11.114
106,11,9000,Other Management Occupations,115,Project Administrator (Management),11.115
107,11,2000,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",117,Assistant Store Manager (Management),11.117
108,11,3000,Operations Specialties Managers,118,Benefits Administrator,11.118
109,11,9000,Other Management Occupations,119,Food Service Director,11.119
110,11,9000,Other Management Occupations,120,Laboratory Manager (Management),11.12
111,11,1000,Top Executives,121,Revenue Manager,11.121
112,11,9000,Other Management Occupations,122,Chief Nursing Officer,11.122
113,11,3000,Operations Specialties Managers,124,Quality Control Manager,11.124
114,11,9000,Other Management Occupations,125,Director of Pharmacy (Management),11.125
115,11,9000,Other Management Occupations,126,Project Leader (Management),11.126
116,11,3000,Operations Specialties Managers,127,Compensation Manager,11.127
117,11,3000,Operations Specialties Managers,128,Director of Benefits and Compensation,11.128
118,11,2000,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",130,Engagement Manager,11.13
119,11,9000,Other Management Occupations,132,Assistant Vice President (AVP),11.132
120,11,9000,Other Management Occupations,133,Division Director,11.133
121,11,2000,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",134,Director of Communications (Management),11.134
122,11,9000,Other Management Occupations,135,Leasing Manager,11.135
123,11,3000,Operations Specialties Managers,136,Commodity Manager,11.136
124,11,9000,Other Management Occupations,142,Real Estate Manager,11.142
125,11,9000,Other Management Occupations,143,Director of Emergency Services,11.143
126,11,9000,Other Management Occupations,144,Acute Care Manager,11.144
127,11,3000,Operations Specialties Managers,147,Regional Operations Manager,11.147
128,11,9000,Other Management Occupations,148,Patient Services Manager,11.148
129,11,1000,Top Executives,150,Chief Executive Officer (CEO),11.15
130,11,9000,Other Management Occupations,152,Loss Prevention Manager (Management),11.152
131,11,9000,Other Management Occupations,153,Construction Superintendent,11.153
132,11,9000,Other Management Occupations,155,Vice President (VP) of Sales,11.155
133,11,9000,Other Management Occupations,161,Billing Manager,11.161
134,11,3000,Operations Specialties Managers,162,Performance Improvement Manager,11.162
135,11,9000,Other Management Occupations,163,Supply Chain Director,11.163
136,11,3000,Operations Specialties Managers,165,Capture Manager,11.165
137,11,9000,Other Management Occupations,167,Fitness Manager (Management),11.167
138,11,9000,Other Management Occupations,168,Technical Director (Management),11.168
139,11,3000,Operations Specialties Managers,170,Human Resources (HR) Administrator,11.17
140,11,2000,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",171,Development Officer,11.171
141,11,9000,Other Management Occupations,172,Director of Quality Management,11.172
142,11,3000,Operations Specialties Managers,174,Maintenance Director,11.174
143,11,9000,Other Management Occupations,175,Child Care Director,11.175
144,11,9000,Other Management Occupations,177,Vice President (VP) of Operations,11.177
145,11,9000,Other Management Occupations,178,Surgery Center Administrator,11.178
146,11,3000,Operations Specialties Managers,179,Fleet Manager (Management),11.179
147,11,2000,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",180,Campaign Manager,11.18
148,11,2000,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",184,Community Relations Director,11.184
149,11,9000,Other Management Occupations,188,Property Administrator,11.188
150,11,9000,Other Management Occupations,189,Child Care Center Director,11.189
151,11,9000,Other Management Occupations,190,Vice President (VP) of Finance,11.19
152,11,3000,Operations Specialties Managers,193,Tax Director (Management),11.193
153,11,9000,Other Management Occupations,194,Catering Manager (Management),11.194
154,11,9000,Other Management Occupations,195,Safety Director (Management),11.195
155,11,9000,Other Management Occupations,196,Vice President (VP) of Marketing,11.196
156,11,9000,Other Management Occupations,197,Rehabilitation Manager,11.197
157,11,9000,Other Management Occupations,198,Clinic Administrator,11.198
158,11,3000,Operations Specialties Managers,199,Demand Manager,11.199
159,11,9000,Other Management Occupations,203,Director of Recruitment,11.203
160,11,9000,Other Management Occupations,204,Chef Manager (Management),11.204
161,11,2000,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",205,Sales Leader (Management),11.205
162,11,9000,Other Management Occupations,207,Resident Manager,11.207
163,11,3000,Operations Specialties Managers,208,Information Technology (IT) Manager (Management),11.208
164,11,9000,Other Management Occupations,211,Director of Student Services,11.211
165,11,9000,Other Management Occupations,212,Lease Administrator,11.212
166,11,3000,Operations Specialties Managers,214,Finance and Insurance Manager,11.214
167,11,9000,Other Management Occupations,215,Call Center Manager,11.215
168,11,9000,Other Management Occupations,216,Dietary Manager,11.216
169,11,9000,Other Management Occupations,217,Director of Client Services,11.217
170,11,3000,Operations Specialties Managers,218,Director of Manufacturing,11.218
171,11,9000,Other Management Occupations,220,Environmental Services Manager (Management),11.22
172,11,9000,Other Management Occupations,222,Food Service Manager (Management),11.222
173,11,9000,Other Management Occupations,223,Director of Claims,11.223
174,11,9000,Other Management Occupations,224,Director of Quality Assurance,11.224
175,11,9000,Other Management Occupations,226,Manager of Emergency Services,11.226
176,11,9000,Other Management Occupations,227,Laboratory Director,11.227
177,11,3000,Operations Specialties Managers,232,Director of Quality Improvement,11.232
178,11,9000,Other Management Occupations,233,Director of Patient Care,11.233
179,11,2000,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",234,Director of Revenue Cycle,11.234
180,11,9000,Other Management Occupations,235,Facilities Administrator,11.235
181,11,9000,Other Management Occupations,236,Residence Director,11.236
182,11,3000,Operations Specialties Managers,237,Director of Application Development,11.237
183,11,9000,Other Management Occupations,238,Real Estate Director,11.238
184,11,9000,Other Management Occupations,240,Director of Analytics,11.24
185,11,3000,Operations Specialties Managers,241,Director of Procurement,11.241
186,11,9000,Other Management Occupations,243,Audit Director,11.243
187,11,9000,Other Management Occupations,247,Apartment Manager,11.247
188,11,9000,Other Management Occupations,249,Area Director,11.249
189,11,3000,Operations Specialties Managers,252,Credit Risk Manager,11.252
190,11,9000,Other Management Occupations,253,Director of Contracts,11.253
191,11,9000,Other Management Occupations,256,Director of Financial Reporting,11.256
192,11,3000,Operations Specialties Managers,258,Business Administrator,11.258
193,11,9000,Other Management Occupations,259,Academic Director,11.259
194,11,3000,Operations Specialties Managers,261,Cash Manager,11.261
195,11,3000,Operations Specialties Managers,264,Vendor Manager,11.264
196,11,2000,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",265,Channel Manager,11.265
197,11,2000,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",267,Business Intelligence Manager,11.267
198,11,9000,Other Management Occupations,268,Search Manager,11.268
199,11,9000,Other Management Occupations,269,Health Services Administrator,11.269
200,11,9000,Other Management Occupations,271,Area Manager (Management),11.271
201,11,2000,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",272,Promotions Manager,11.272
202,11,9000,Other Management Occupations,273,Senior Vice President (SVP),11.273
203,11,3000,Operations Specialties Managers,276,Analytics Manager (Management),11.276
204,11,9000,Other Management Occupations,277,Regulatory Manager,11.277
205,11,9000,Other Management Occupations,279,Behavioral Health Care Manager,11.279
206,11,3000,Operations Specialties Managers,280,Distribution Manager,11.28
207,11,3000,Operations Specialties Managers,286,Manufacturing Manager (Management),11.286
208,11,9000,Other Management Occupations,289,Hospitality Manager,11.289
209,11,9000,Other Management Occupations,293,Regional Director,11.293
210,11,9000,Other Management Occupations,294,Kitchen Manager (Management),11.294
211,11,9000,Other Management Occupations,297,Facilities Manager,11.297
212,11,3000,Operations Specialties Managers,298,Learning Manager,11.298
213,11,3000,Operations Specialties Managers,299,Administrative Director,11.299
214,11,2000,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",302,E-commerce Manager,11.302
215,11,9000,Other Management Occupations,304,Pharmacy Manager (Management),11.304
216,11,2000,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",305,Regional Business Manager,11.305
217,11,9000,Other Management Occupations,306,Director of Facilities,11.306
218,11,2000,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",312,Segment Marketing Manager,11.312
219,11,3000,Operations Specialties Managers,313,Director of Technology (Management),11.313
220,11,3000,Operations Specialties Managers,314,Director of Risk Management,11.314
221,11,3000,Operations Specialties Managers,318,Maintenance Manager (Management),11.318
222,11,9000,Other Management Occupations,322,Director of Hospice,11.322
223,11,3000,Operations Specialties Managers,324,Claims Manager (Management),11.324
224,11,3000,Operations Specialties Managers,325,Investment Manager,11.325
225,11,9000,Other Management Occupations,327,Research and Development (R&D) Manager,11.327
226,11,3000,Operations Specialties Managers,328,Business Banking Relationship Manager,11.328
227,11,3000,Operations Specialties Managers,329,Project Management Office (PMO) Manager,11.329
228,11,3000,Operations Specialties Managers,332,Chief Technology Officer (CTO),11.332
229,11,2000,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",333,Chief Marketing Officer (CMO),11.333
230,11,9000,Other Management Occupations,334,Chief Innovation Officer (CINO),11.334
231,11,9000,Other Management Occupations,335,Aquatics Director (Management),11.335
232,11,9000,Other Management Occupations,331,Other Topics,11.331
233,11,9000,Other Management Occupations,31277,Vice President (VP) of Engineering,11.31277
234,11,9000,Other Management Occupations,30516,Vice President (VP) of Business Development,11.30516
235,11,9000,Other Management Occupations,11760,Mobility Director,11.1176
236,11,9000,Other Management Occupations,11096,Grants Administrator,11.11096
237,11,3000,Operations Specialties Managers,11418,Director of Transportation,11.11418
238,11,3000,Operations Specialties Managers,10598,Director of Training,11.10598
239,11,9000,Other Management Occupations,10172,Director of Strategy,11.10172
240,11,9000,Other Management Occupations,31157,Director of Resident Services,11.31157
241,11,9000,Other Management Occupations,10219,Director of Research,11.10219
242,11,9000,Other Management Occupations,30682,Director of Regulatory Affairs,11.30682
243,11,2000,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",31241,Director of Public Relations (Management),11.31241
244,11,9000,Other Management Occupations,11200,Director of Patient Access,11.112
245,11,3000,Operations Specialties Managers,11777,Director of Materials,11.11777
246,11,9000,Other Management Occupations,11269,Director of Infrastructure,11.11269
247,11,3000,Operations Specialties Managers,31329,Director of Information Management,11.31329
248,11,2000,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",10828,Director of Fundraising,11.10828
249,11,9000,Other Management Occupations,31227,Director of Financial Services,11.31227
250,11,9000,Other Management Occupations,30865,Director of Clinical Research,11.30865
251,11,9000,Other Management Occupations,31273,Director of Care Management,11.31273
252,11,9000,Other Management Occupations,31322,Delivery Director,11.31322
253,11,9000,Other Management Occupations,11495,Alliance Director,11.11495
254,11,2000,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",31279,Zone Manager,11.31279
255,11,3000,Operations Specialties Managers,10871,Transaction Manager,11.10871
256,11,9000,Other Management Occupations,10323,Training Leader (Management),11.10323
257,11,3000,Operations Specialties Managers,30841,Traffic Manager,11.30841
258,11,3000,Operations Specialties Managers,10129,Technology Manager (Management),11.10129
259,11,3000,Operations Specialties Managers,31381,Task Manager,11.31381
260,11,3000,Operations Specialties Managers,31083,Systems Integration Manager,11.31083
261,11,3000,Operations Specialties Managers,11530,Supplier Relationship Manager,11.1153
262,11,9000,Other Management Occupations,30977,Subcontracts Manager,11.30977
263,11,2000,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",30797,Strategy Leader,11.30797
264,11,1000,Top Executives,30742,Store Director,11.30742
265,11,3000,Operations Specialties Managers,30678,Sourcing Leader,11.30678
266,11,1000,Top Executives,10370,Solutions Executive,11.1037
267,11,9000,Other Management Occupations,31358,Shared Services Manager,11.31358
268,11,9000,Other Management Occupations,11510,School Principal,11.1151
269,11,2000,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",10261,Sales Administrator (Management),11.10261
270,11,9000,Other Management Occupations,30933,Risk and Assurance Manager,11.30933
271,11,9000,Other Management Occupations,10472,Resource Leader,11.10472
272,11,9000,Other Management Occupations,31387,Resort Manager,11.31387
273,11,9000,Other Management Occupations,10787,Research Leader,11.10787
274,11,3000,Operations Specialties Managers,10313,Reporting Manager,11.10313
275,11,3000,Operations Specialties Managers,11174,Relations Officer,11.11174
276,11,9000,Other Management Occupations,31192,Reimbursement Manager,11.31192
277,11,2000,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",31250,Regional Sales Executive,11.3125
278,11,9000,Other Management Occupations,31559,Professional Services Manager,11.31559
279,11,3000,Operations Specialties Managers,11145,Product Line Manager,11.11145
280,11,9000,Other Management Occupations,11228,Practice Coordinator,11.11228
281,11,3000,Operations Specialties Managers,31364,Planning Administrator,11.31364
282,11,9000,Other Management Occupations,10632,Patient Access Manager,11.10632
283,11,2000,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",31448,Partnership Manager,11.31448
284,11,2000,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",10429,Partner Manager,11.10429
285,11,9000,Other Management Occupations,31406,Nurse Manager Oncology,11.31406
286,11,3000,Operations Specialties Managers,30966,Modeling Manager,11.30966
287,11,9000,Other Management Occupations,31471,Medical Supervisor,11.31471
288,11,2000,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",10415,Marketing Executive,11.10415
289,11,3000,Operations Specialties Managers,31180,Investment Officer,11.3118
290,11,9000,Other Management Occupations,11123,Intelligence Manager,11.11123
291,11,3000,Operations Specialties Managers,10474,Improvement Manager,11.10474
292,11,9000,Other Management Occupations,30945,Imaging Manager,11.30945
293,11,9000,Other Management Occupations,30840,Hospital Area Manager,11.3084
294,11,9000,Other Management Occupations,30362,Healthcare Facility Administrator,11.30362
295,11,9000,Other Management Occupations,10621,Health Service Executive,11.10621
296,11,3000,Operations Specialties Managers,11391,Head of Operations,11.11391
297,11,9000,Other Management Occupations,31252,Grants Manager,11.31252
298,11,3000,Operations Specialties Managers,11180,Fund Administrator,11.1118
299,11,3000,Operations Specialties Managers,31261,Fulfillment Manager,11.31261
300,11,3000,Operations Specialties Managers,30603,Financial Controller (Management),11.30603
301,11,3000,Operations Specialties Managers,10963,Financial Administrator,11.10963
302,11,9000,Other Management Occupations,10356,Field Manager (Management),11.10356
303,11,9000,Other Management Occupations,31537,Distribution Group Leader,11.31537
304,11,3000,Operations Specialties Managers,31201,Deployment Manager,11.31201
305,11,9000,Other Management Occupations,31077,Club Manager,11.31077
306,11,9000,Other Management Occupations,31130,Clinical Trials Manager,11.3113
307,11,9000,Other Management Occupations,30939,Clinical Nutrition Manager,11.30939
308,11,9000,Other Management Occupations,30875,Chief Medical Officer,11.30875
309,11,9000,Other Management Occupations,11243,Chief Brand Officer,11.11243
310,11,9000,Other Management Occupations,11379,Branch Leader,11.11379
311,11,3000,Operations Specialties Managers,30381,Banking Center Manager,11.30381
312,11,9000,Other Management Occupations,11217,Agency Manager,11.11217
313,11,2000,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",10858,Director of Retail,11.10858
314,11,3000,Operations Specialties Managers,11172,Director of Reimbursement,11.11172
315,11,3000,Operations Specialties Managers,10937,Director of Logistics,11.10937
316,11,9000,Other Management Occupations,10767,Director of Integration,11.10767
317,11,9000,Other Management Occupations,11697,Director of Innovation,11.11697
318,11,3000,Operations Specialties Managers,10775,Director of Benefits,11.10775
319,11,9000,Other Management Occupations,31267,Corporate Vice President (VP),11.31267
320,11,3000,Operations Specialties Managers,10867,Training Administrator,11.10867
321,11,3000,Operations Specialties Managers,30807,Technical Services Manager,11.30807
322,11,3000,Operations Specialties Managers,30677,Subcontracts Administrator,11.30677
323,11,2000,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",10146,Strategy Manager,11.10146
324,11,2000,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",10508,Sourcing Director,11.10508
325,11,9000,Other Management Occupations,10400,Solutions Director,11.104
326,11,9000,Other Management Occupations,10708,Research Administrator,11.10708
327,11,9000,Other Management Occupations,10832,Reporting Leader,11.10832
328,11,9000,Other Management Occupations,30701,Regulatory Affairs Manager,11.30701
329,11,1000,Top Executives,11302,Regional Administrator,11.11302
330,11,9000,Other Management Occupations,11308,Real Estate Administrator,11.11308
331,11,3000,Operations Specialties Managers,30377,Quality Director,11.30377
332,11,3000,Operations Specialties Managers,11155,Procurement Leader,11.11155
333,11,9000,Other Management Occupations,30746,Practice Leader,11.30746
334,11,3000,Operations Specialties Managers,11219,Photo Department Manager,11.11219
335,11,3000,Operations Specialties Managers,30888,Optimization Manager,11.30888
336,11,2000,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",10229,Marketing Leader,11.10229
337,11,3000,Operations Specialties Managers,31310,Initiatives Manager,11.3131
338,11,3000,Operations Specialties Managers,31427,Information Systems Manager,11.31427
339,11,9000,Other Management Occupations,31324,Informatics Manager,11.31324
340,11,9000,Other Management Occupations,30854,Implementation Leader,11.30854
341,11,2000,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",11734,Division Manager,11.11734
342,11,3000,Operations Specialties Managers,30792,Creative Manager,11.30792
343,11,3000,Operations Specialties Managers,31355,Cost Manager,11.31355
344,11,3000,Operations Specialties Managers,10386,Control Manager,11.10386
345,11,3000,Operations Specialties Managers,31522,Control Leader,11.31522
346,11,9000,Other Management Occupations,11141,Continuous Improvement Leader,11.11141
347,11,9000,Other Management Occupations,10599,Consulting Director,11.10599
348,11,9000,Other Management Occupations,10575,Compliance Leader,11.10575
349,11,2000,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",10617,Communications Officer (Management),11.10617
350,11,9000,Other Management Occupations,31291,Clinical Research Manager,11.31291
351,11,9000,Other Management Occupations,30358,Chief Engineer (Management),11.30358
352,11,1000,Top Executives,30597,Business Development Officer,11.30597
353,11,3000,Operations Specialties Managers,30789,Business Analysis Manager,11.30789
354,11,9000,Other Management Occupations,11245,Assistant Principal,11.11245
355,11,3000,Operations Specialties Managers,11252,Director of Distribution,11.11252
356,11,2000,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",11304,Director of Acquisition,11.11304
357,11,9000,Other Management Occupations,10611,Unit Director,11.10611
358,11,9000,Other Management Occupations,30848,Support Services Manager,11.30848
359,11,9000,Other Management Occupations,30688,Section Manager,11.30688
360,11,9000,Other Management Occupations,11818,Science Manager,11.11818
361,11,2000,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",30536,Sales President,11.30536
362,11,9000,Other Management Occupations,10268,Research Manager,11.10268
363,11,2000,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",11673,Publications Manager,11.11673
364,11,9000,Other Management Occupations,10763,Practice Director,11.10763
365,11,9000,Other Management Occupations,30718,Practice Administrator,11.30718
366,11,3000,Operations Specialties Managers,11500,Platform Manager,11.115
367,11,9000,Other Management Occupations,31434,Planning Director (Management),11.31434
368,11,9000,Other Management Occupations,11117,Partnership Director,11.11117
369,11,3000,Operations Specialties Managers,31231,Outcomes Manager,11.31231
370,11,3000,Operations Specialties Managers,10085,Operations Leader,11.10085
371,11,3000,Operations Specialties Managers,11153,Mobility Manager,11.11153
372,11,2000,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",10584,Marketing Administrator,11.10584
373,11,9000,Other Management Occupations,10484,Education Manager,11.10484
374,11,9000,Other Management Occupations,10909,Compliance Administrator,11.10909
375,11,9000,Other Management Occupations,10548,Communications Leader,11.10548
376,11,2000,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",10628,Brand Director,11.10628
377,11,9000,Other Management Occupations,11690,Architecture Director,11.1169
378,11,3000,Operations Specialties Managers,30005,Programming Manager,11.30005
379,11,9000,Other Management Occupations,11739,Science Director,11.11739
380,11,9000,Other Management Occupations,31376,Regional Service Manager,11.31376
381,11,3000,Operations Specialties Managers,30096,Process Manager (Management),11.30096
382,11,9000,Other Management Occupations,10960,Policy Director,11.1096
383,11,9000,Other Management Occupations,30110,Nurse Director,11.3011
384,11,9000,Other Management Occupations,11717,Intelligence Director,11.11717
385,11,3000,Operations Specialties Managers,10327,Infrastructure Manager (Management),11.10327
386,11,3000,Operations Specialties Managers,11696,Governance Manager,11.11696
387,11,3000,Operations Specialties Managers,11613,Finance Administrator,11.11613
388,11,2000,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",31328,Director of Merchandising,11.31328
389,11,3000,Operations Specialties Managers,10228,Design Manager (Management),11.10228
390,11,3000,Operations Specialties Managers,11552,Commercial Manager,11.11552
391,11,2000,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",30796,Business Development Leader,11.30796
392,11,3000,Operations Specialties Managers,30625,Architecture Manager,11.30625
393,11,9000,Other Management Occupations,30984,Alliance Manager,11.30984
394,11,3000,Operations Specialties Managers,10697,Affairs Manager,11.10697
395,11,3000,Operations Specialties Managers,30441,Operations President,11.30441
396,11,9000,Other Management Occupations,30512,Location Manager,11.30512
397,11,3000,Operations Specialties Managers,31078,Lean Manager,11.31078
